"SURVEY_YEAR","NUM_MALE_GE25","CV_NUM_MALE_GE25","CI_NUM_MALE_GE25","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_GE95","CV_NUM_MALE_GE95","CI_NUM_MALE_GE95","NUM_MALE_GE78","CV_NUM_MALE_GE78","CI_NUM_MALE_GE78","NUM_MALE_GE102","CV_NUM_MALE_GE102","CI_NUM_MALE_GE102","NUM_MALE_GE102_NEW","CV_NUM_MALE_GE102_NEW","CI_NUM_MALE_GE102_NEW","NUM_MALE_GE102_OLD","CV_NUM_MALE_GE102_OLD","CI_NUM_MALE_GE102_OLD","NUM_MALE_95TO101","CV_NUM_MALE_95TO101","CI_NUM_MALE_95TO101","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1980,2741280374.09330976576611115660625418565,0.1468469832976562033850978334483132786875,788995556.484999095981615369317138831824,2567047139.141595408521905926224136075862,0.1553500906445778226140492854923298114516,781630371.278920008907838511221229367505,194807158.638608847230906950334950190919,0.1703345150315874784818683543953380815207,65037470.46712237179081733652050245484311,513358088.053735775549364703742117383282,0.1777501630259239324872198276903300937733,178848988.330767168667436405328475212142,116566124.949864141659218102159517200343,0.1580718274953185299094307516286732222993,36114607.97395043304567967601487505429537,79197906.27454473853130754929729865503002,0.2084993818962734222118750638015200547502,32364920.43121428215740059702347879575646,37368218.67531940312791055286221854531349,0.1705641834660452217112445473896503109151,12492412.22363549299146428807365190683354,78241033.68874470557168884817543299057631,0.2131196040367491240657706309620723163868,32682408.31357559191068960976612694786391,898547426.173493130283411122272425131086,0.2111296396957563381137470782574498543498,371831588.901615292730568525248939282727,4830338598.182635087514802240738089986316,0.340065767089668212179916329590988962536,3219560289.35986844954144641465056983696
1981,1655075476.743356554271050610126035915763,0.162601980864601335644199801701827725421,527472359.95783262289524553365975694974,1575406457.960694055915492459718370248721,0.1696560401541357934617997403401803363751,523863353.73009413305752107705333782483,79791045.85831378610864812337187737341815,0.1129495154898774815021479124866020933005,17664225.54144918940254623318373746669536,318814359.981617727202482073553648814459,0.1135583763866240032945096081712196306164,70959920.53297623891087787030094204330359,40286140.8822241840655292629802000892245,0.1114266667822837324938718325917236560849,8798342.77621435501814059544476858185432,26720953.56667065299035832468157148748674,0.1344614831604702627689472974570641132642,7042160.53415172387532719067457234790771,13565187.31555353107517093829862860173782,0.1575632589016397999402246448694456777607,4189255.23725761036563284801976180779455,39504904.97608960204311886039167728419359,0.1303729762154509551854399722762242889718,10094729.19220910435434623785817297382092,233325147.266834729874948556082726872512,0.2698737564183101436721721765142123554369,123417934.561121953369911562675170326902,2047836164.189676681126633473983973917213,0.177863456892935501568866138622056555273,713901029.853764095001555127307333613243
1982,1923432512.285895373953887329425684927753,0.1254167985330490991387739071237135143946,472812265.855142187533367331531947294295,1778983434.911877336882836046286912225801,0.1295016232871509797508277673899986274657,451547235.539198034261419749198724343377,145270336.922022207806732174346058159115,0.1543568761633890787196629415142361663472,43950011.79671332462472229984320069065398,591121370.116026026305560020205859103292,0.1374225572141633308244461977675773400084,159217484.198357041327674706631881436436,65044609.66982739355470828121649309856375,0.1497215829948866014761178720704819512787,19087620.57310008874985736332091232286703,55758095.84055877770274878972015316526344,0.1724127727374719332824308546374800834977,18842279.49660758167155945185377269174887,9286513.82926861585195949149633993330062,0.1676620446463762237676352269771321775578,3051711.9566539688034490433482242770122,80225727.25219481425202389312956506055015,0.1657957639341698166239049524620589985617,26070128.04442589171574924608109235317146,79852731.08891322385551156555830948219178,0.2845367191348402424157551123094725821002,44533226.87127221411393195127919147736645,2317236981.574146522849044003636801700006,0.1697110297461260499113882814385445712939,770790921.645156511041579705153791971348
1983,1507556725.758732930513434323835815019475,0.1365859427478548210298642807935072524104,403585671.00190650405551621124145876342,1485994316.548376877537191122152835250456,0.1832562279285927476020777097768851180207,533742717.821006199557421766545120743953,150305795.451204838043942111383833314297,0.1398249968861481646566247109529072891315,41192354.46663208932398758084898469455427,511713214.215841305664384759793549737096,0.1236095822960130353581032285180936162801,123975207.062557951355006980338808169861,65569136.73100397678984827302744184302286,0.1439418683457175537017056869447173508858,18498762.33187799386772811799170474184595,57836339.84420778935415313162385473029402,0.1634073344580929515551835369082667584071,18523728.9723586040604840083201279027869,7732796.88679618743569514140358711272874,0.1437499040939534026281508641896047369994,2178714.06927574784595635071508643555033,84736658.72020086125409383835639147127506,0.1470828039071289688917958724594354762892,24428078.50224568196697773387119438599231,240477606.495914851841936964408331630019,0.6687373175306516414967916780987825286457,315200045.008768623978552119197502984465,1466001017.390100711045225003077866865689,0.2126336029869506514445487472725523758478,610973313.487977128429123481182919847204
1984,1389083911.07450390132010268693401468208,0.181738173052907488092977249036875878745,494801161.543100782929512333648077346656,1223644321.68996406424309974767460302938,0.2260609071837154343628899008860185470464,542171565.045613378561307574127837522931,237627512.828256132582195018405849330678,0.1347652641804981519156270067901403839347,62766911.70399511650265676051904137728197,476087692.084226380260107503948733932861,0.1139222000217489164907970123414623577466,106304436.279603610149620115268456358246,148290657.262695115836124903803405582746,0.1489367340705139982787313100425356573211,43288415.3243164851730611712371578454413,131547058.982702932020519584973488606626,0.16679395367935697873978401493577801772,43004857.96272852268961249788380693322296,16743598.2799921838156053188299169761209,0.1767161840400781244589263275453988796183,5799374.99847485920737320132353228616344,89336855.56556101674607011460244374793169,0.1343526275124020734313544859608217065303,23525176.90670100337434257853822264460564,551857397.494181215574235936951484169491,0.3315949264201213576048920128376003199627,358666501.708306061911034043485781100224,670017943.514584998226752605204445773983,0.2085100888778902581376514261498192925846,273822781.865934450399130115745051716079
1985,542937009.857263184410649507465852231052,0.1301479947542172249228722013527214228892,138497839.697116010340587898428402827861,444588146.19500952625706835321943729819,0.1557097793807759111045113071040314670742,135684375.432292838113304340136861451416,105898640.197471524189168067711222621988,0.1124621249817163247352546468938956745571,23342788.77419242774234996703619009745674,195940215.428149278271008401250139667082,0.1115655320059457645792229504997429459152,42845941.77617814894058782958915148223956,73819338.86801445515442230137978641033425,0.1159037684777077778093852301137116636299,16769641.5402181726272889926529135430245,65155893.3322082452586747950305437973141,0.1228057557259735291512787643302330467774,15682976.69249899627906427258897903273847,8663445.53580620989574750634924261302008,0.14605126252791196292827813587005702688,2480002.0303587473752313727983675582834,32079301.32945706903474576633143621165375,0.1218206533564676628513896541085444352323,7659526.03645998523794786077581525025859,213006037.210636897009979641104199169251,0.2590234247615975497723839327666201461458,108140164.376263090448788910568316922194,103423988.989319732563400345615733148033,0.2203199552734523463300364643544672737392,44661282.51152474477324660307365255564162
1986,1245940598.398232237931973780393467483205,0.2049413679349900777439012315288611183322,500475750.378888691484352126183083490159,1143066051.314263198494990445067817649653,0.2230807632960594913452984726314268753121,499792252.560997140025354549755675029716,110574369.916260177221672489627569001906,0.1247585839784883155011230842181906278352,27038399.55752970755986986707453871783173,211178664.052051516075938626502072845509,0.1104518239538460506695357337721722518213,45717134.50438375940314967616258864966712,78151313.02652376542651445250532619394195,0.1306991299896217575245082115305688173358,20020044.89542196958683630066396507897328,57297911.6914377152744527197352004792008,0.1707625336302202415720610628384533379128,19177299.68141502394271163743908501263985,20853401.33508605015206173277012571474141,0.106642073688974201522822127416869291986,4358745.92521031912872843774340760646849,32423056.889736411795158037122242807964,0.1297098395622437565008600460011584848487,8242955.43427901557745571784498626408555,842125457.835706456405164327673579798595,0.2974500325237210960026367815642035029963,490960879.851677431741531968457181755007,267415127.14853167843639793633246016872,0.2107996132161613270488426663288646070581,110487170.527279716976389673998400405915
1987,3971080860.956318981020444284046826274487,0.1807320699512361838689263523098751894349,1406695261.330970398066639421210165721987,3758580280.976556778556654109751304996055,0.1905246194164676743575230642225207901376,1403560072.05542528867462312356328601283,215722534.807808185532828033593594614058,0.1155264196206632276155499989027014243541,48846438.07256635616796588635755014469128,493270055.87204402614759883542376249009,0.1067013899687319738489979465981899678501,103159897.159342310300278375630086785022,130818332.258213841310889466899560291075,0.1108275928539030588867338514063717156812,28416630.4960662752015195469594102838907,101645841.516806647732683915748375390524,0.1367733903330578849103133938640686909386,27248794.86072025889408501144140084175097,29172490.74140719357820555115118490055129,0.1474341408209957357655943897391177164068,8430001.37181293205173078060914701652328,84904202.54959434422193856669403432298189,0.1323905086639176410450721284220090441581,22031400.70396037306213761497681740036931,2955461594.040764432821568804210473029011,0.2099165428381519269074738184262609106206,1215984549.411462977172759917416619914036,2040222657.062244864283169756478776777027,0.1920623714214978748411899143514818630898,768026003.416758548447906401201858208897
1988,3953294156.635058179960779175855296398242,0.1293170539908161763254396456462676966399,1002007573.634501684146530337305521199104,3677862138.047240452809920481383887352759,0.1375759538056962838196902948619854479561,991731367.551104781828906349440364441869,276915042.506260927537582887827142949097,0.174579444327117846107769843401497094967,94753601.52326397295553322845221359517124,683764423.246934057954106354890566306613,0.1360103378866167323276028460060004037587,182278099.27169970355795321238130093224,178454136.268309505360975185371207370206,0.2005696462835254244380968410324021189119,70153266.65876709114430894481605281961959,156307759.540892904624544246615760055242,0.2283388632732085474509879443806867633728,69954626.82332502742099419465776252487671,22146376.72741660073643093875544731496346,0.1463352994551074925296255294424580855361,6351961.47369417822482611923426564908986,98460906.23795142217660770245593557889011,0.1490139038452361730283366576411454216975,28757206.26872753913983381856979777472311,1045774453.317906298321461872655539537557,0.2250403305734753599521451200582531302461,461269200.212715934284025274787775370787,2795615538.411622679895697439792657185291,0.1780177290013250325798502819080066404137,975431493.44535309196415192066514064074
1989,3402481519.899570307547906064729113598244,0.1058275968260876744989524571425453604499,705749827.292445637425334722029147209507,3110966324.905216696323321377028550092543,0.1134030687791440982164262137008624329425,691474531.101141771360953905208778250498,292347493.263300348275260218544502165194,0.1057840546310041830838583412047284885375,60614378.26926009918984743762765949692831,882466949.07777587962646256225163381482,0.1140757539406863426999723495556904315232,197309441.785817709993795537737331945657,161957045.0943518733215259797902641999,0.1027218153451703700950253958129008897293,32607582.49286162998706470588402138349958,129804508.3671327373296754148621824485,0.1199703875919102883667594602764723869964,30522486.47276526205114275221233628296127,32152536.72721913599185056492808175140053,0.1342396167947018458255852408468260417565,8459642.65010936874304778495686644468697,130390448.168948474953734238754237965294,0.119792457071333318219526226618313212768,30614792.64298971761614073517102971953358,564736098.155745614696358893768954188658,0.2368086784059757357700782360964551225121,262119441.742722639767078376757276588356,4625911104.677507128338950482773360027312,0.376954799952785668479674426349519299474,3417768414.323635748620296821170694710325
1990,2970042628.029604137430576266196752489134,0.1157711371733450978623095114875658277245,673936616.500583434496078868155511952992,2263916552.361729382310308243045761846211,0.1313257709832849898839956425076767112079,582728749.894220204143448392862139838822,710409489.31129739621149257819502592359,0.1536727406633726294370964601297874101074,213974323.502838629675084383849203214679,1348059101.070833131124342393516974974188,0.1368315781048094231308108811102394779472,361535826.189022852318360443226030624514,395063785.326273480117148896593205464843,0.1491457845033958806321941329779343679635,115487312.455081742776948709137107466257,366002740.261516744374441175186291027949,0.1609542869939011107721839359452498628674,115463031.789348565480457937518263847727,29061045.06475673574270772140691443689469,0.1509846015273433198249766371646002461216,8600029.80577810726480617895442215923149,315345703.985023916094343681601820458755,0.1686875133521704325584750762008330511818,104261969.996985680993502909515562850119,1043885049.064362457605281673425577600255,0.379333993042134159183455488110161566461,776122924.519594737983655138387256389687,3008694645.138529003969152591260589076445,0.2361723199661802444265146480077899878659,1392717973.047892005571255565612773254313
1991,3767949065.781932207950822819613144974218,0.1614864220187367362602558102330136073216,1192606321.444653227496496460415612523615,3331816776.654752371276636570285495710548,0.1833085491940314639579616950459232438997,1197070979.03747735517621451658515204144,618332094.41756747705315516085710783325,0.1480037810557456950745570009992548163137,179370356.326959930360754750867779426561,1093772468.533370616864791762212979798514,0.1519689707188451462289396789846591105048,325790173.437508475780241669971179137461,439700306.805607012719498448195639872332,0.1671825484671287299154100686652607039716,144080026.992937943191881663570328422457,387325832.24003986968146927259337440735,0.1891765775133526163860265503355929676933,143615031.638336159957804754511695578292,52374474.56556714303802917560226546498228,0.1484561949688830355255850424483209317566,15239617.80669733715972635233711038015388,178631787.611960464333656712661467960925,0.1941618711864541668943311529026066304309,67979624.98679423347124610640226885252162,2270747748.878756322987002605111283217279,0.1754633775766787324995813021904803635602,780928816.500096704016518641633054566898,3545372679.941952115459077439261023358143,0.2778537277878875711333680748279665648393,1930786230.41764103265589102581439704093
1992,2986808288.501491014389256847130970358759,0.2094785869816506436174341751299690961027,1226317864.526334363696471987066284939011,2776161438.394221529853868010935695335565,0.2302714109378286974473358405955121130622,1252970398.364049610680981388707278140882,293232413.268585305413033265708214850515,0.1090499159327584915642310260149264375819,62674861.2307702814792228941937559972947,512942314.946401904584131658074929412309,0.0889572647008784388381794526104376716579,89434692.76245812082014390539214121424179,223327075.432650209333882559355109510941,0.1181210984044347571404875985547705225236,51704093.32896721061221670469116082826907,170955682.176847280108360617975013386612,0.1410862651770413919929136781848463369725,47274217.46988438096846577782890260279743,52371393.25580292922552194138009612432958,0.1371753983947491465450240921878932659245,14080770.79933157701767052833742027128833,69905337.83593509607915070635310533957406,0.0997600524026022786467351587560809697514,13668569.92483962187336480576145850277417,1862158875.982297766172348073277635117604,0.1690260836575391499297027564425705121248,616916707.032609348882296989817765908474,2068884684.041060288783550438587923972379,0.2093662989475141773665716108944555580531,848983269.323873122560859585733058338861
1993,4949460412.6725497315821825908535099312,0.1762524637464015171306578355979816100007,1709815000.219683404809412134829960042767,4805538727.223079184268644664319219394984,0.1818467351869836668990396842446091328296,1712788195.585854445136574250996185853334,182822685.50318815354372036657636594897,0.1169352175517621527943680030405775072567,41901684.58531689094032805820932719125324,355759966.253084062091544724173876179072,0.1035699068199022349936619304457348926157,72218212.04796362074726192174823162572308,127639550.842696775102946434638737347856,0.1153567367991875085754640885447627710522,28859200.86058586873264543320316027381996,90424528.04566131758751726235175707814591,0.142918612940612467497674320228214733105,25329762.32322703609492095147096343675543,37215022.7970354575154291722869802697102,0.1519960202786974192098834240494405702457,11086809.30507156077516636082048793115421,55183134.66049137844077393193762860111374,0.1309151976529710553918845680318677092576,14159649.52312994334475926591125233196221,2909240794.141521079205827047863878487643,0.1978686044921111835523191621567957706172,1128268935.493876006252498413641946336928,2396291974.689981416117085443559475595805,0.1741960442639758812970884168275512651876,818152182.469312102970682830165252792753
1994,4203956146.682074195220339160758946039585,0.149093041508226888587798691390924588701,1228489992.22103066611598768983744987883,4116854949.132224487961243244073714199104,0.1537803754367058492826691352677766150303,1240859339.404187524823332988282993385867,106415361.856434196876289434254178284853,0.10634152216588499549428615403073765253,22180088.26082747282906937585675065327676,320613820.371518324566171622048494654877,0.083863905811648237681567135873465820006,52700337.37775745072582496070734434552687,73790860.78614631310662168222783134597797,0.1156470270455454086870598146603996120756,16726039.59917709606694712650269518669893,45046460.06252820070537337522691575718523,0.1561065680566179662366725049283904378494,13782814.63558313226965639550204725715685,28744400.72361811240124830700091558879273,0.1410023806643388434180919892639317287422,7943936.70828780006266997302651917068526,32624501.0702878837696677520263469388751,0.1167845011872392572043158783874558341964,7467670.72459320260771956780160587511261,2684166217.78508907743515154185488729731,0.2446286626486365889113574511771567326958,1286983024.67949411371243116567485064611,2204802208.756432025278038803866328419722,0.1278256599671718575390854733135311139686,552387382.965483518063449393041417928206
1995,3761733420.665825357802066834310460207448,0.1040599186186929125921743122813979985098,767233520.294618073182041567524025199728,3635271918.262128526253898022523281298102,0.1075059387273991211591783644104465403881,765994107.400161188995591589228426364715,127952732.168421343080088342450650359249,0.1750779734740038239366595982113385662023,43907341.89507800786725381391553096528544,515673369.932349904288933978769206080318,0.1266921096795855629071855250007938009256,128050224.398929117200787658513766280424,67300769.59950238987641518022666767517144,0.1561361898645880558157251823135160026978,20595848.0508327699494777008094776983254,45282375.67598885940955592883769459807052,0.2082273093539112732786656822348329849937,18480893.40640175230915038337756066395658,22018393.92351353046685925138897307710095,0.1756744905313019354692412323466155283215,7581417.4642682774094896846514832160281,60651962.56891895320367316222398268407813,0.2169126944424191513370081366390303947601,25786114.02312812280291821559440374206746,1021681025.148079736133629767528298727987,0.2178713103920382551473467643479232797629,436286168.153318520123704126540134165784,3109073509.717870054279225269713230580605,0.1355286762214282606169439609070906770528,825882489.412458690711771167224697178769
1996,2611434623.790665992187390510562059991222,0.0891303407009890039760865387003512765386,456205793.164169364995977967834731683825,2309820947.221215403542517458568023158859,0.095403896151079038876268253865068641313,431917198.841508509989817418163137765008,302399329.264552015914806467530318982982,0.1775591836264415316500733939836043266514,105239804.945458797770502647893160815068,958645926.460052683995844279892007341793,0.1126520160885729583126993806533779307256,211667056.80841265663868310790722462589,161409154.928785030724133195991298989846,0.2061674097223582024163582682702421071175,65223522.45919913596814990515761704077187,142376457.56180503557572433909949921102,0.2332902738858083249699150697334086091299,65101483.84778993852000799356827410634564,19032697.36697999514840885689179977882565,0.1785994059672213612231332276438189859014,6662487.74964518946147620447420711529266,140990174.335766985190673271539019993137,0.164704440205241564328723924912908926387,45514547.16728735771586209194447052628772,258410971.473642514405011334577565804229,0.3689511977577195467491024329648196700965,186868433.380315155486851745451547231684,2107165630.836946855302147137693696604316,0.1647479242199000725322143318979748329313,680416280.789090373856870195032591303663
1997,1651199658.36306127532337742990068169796,0.0880202439074433333554204904695163426584,284864433.471247365088396393317023723482,1204421130.529504628647833371241627001841,0.1088187040018498666831755085268031127147,256884551.133460550107741717179298240397,447141443.760925679637144973729129424788,0.1145718818155138073358234289326120586789,100410479.832814181647227514880271782989,945797403.972637170940717835217846320639,0.0847000591891874172517469421638560153252,157013828.351025854895914020878765148645,290755572.648281668642960494268870923041,0.1374555318717316126905625636183047029616,78333285.2907573361989040202115777349565,261042325.340064657790129939967741937478,0.1529691764085322919720095846476444619826,78265601.8494741467250452268757913402324,29713247.30821701085283055430112898556326,0.1440893572144292931262587546306460848658,8391470.90257294663298479863510916231196,156385871.112644010994184479460258501748,0.1061034833091353645529164161948759524047,32522447.90415463563849551060077904445178,142858640.94409715831398633004839243259,0.4783571183516133232754178093860062544377,133941397.714746389837502549369590995397,2001046320.595576268903540653974774355899,0.2073471812694592063613418698747631283577,813226175.76362605438052415195388238011
1998,1078535549.237452218253347629152448856613,0.122371001799003856963616448568562280792,258683692.24661072156684162123968836197,778179337.579468168823651099578061486937,0.1650186431288030593389026894535322978933,251691632.860539857700038872281456728175,308387242.597622945707139070102582149472,0.0981228140918212951511185617641976360881,59309255.18444406036761330383177933289778,514598111.598352929782421944377736428186,0.086615861905491181591591542527918671099,87361823.583217775529503752005241801456,214923176.733341292055028621093526922142,0.1060257494178466627891885229223178618008,44663286.12561695919700598084968233133655,187639416.562017322329801133197164344525,0.1209543496673798557404633416923067614718,44483775.06036176460679585222516542831791,27283760.17132396972522748789636257761645,0.1450095074308670066618300521857239462086,7754553.06167896906676613231281692713145,93464065.86428165365211044900905522733086,0.1029413720777934680247676744201178650636,18857785.5928752895596834766709670977341,335978567.916953880901178840448835761131,0.420168888718492158630839215986592976987,276688773.369198031803690614004269991646,1386676718.57478469006390334457907409523,0.2910925048580975231625940978651061321314,791156350.89914883888253078185466216641
1999,543944039.680305738949934707853249617812,0.0985808638270619782667119219442755947495,105100047.678321786052878867709645895689,422435555.395874163766337269519342604283,0.1242570644624262747797074032259115397216,102881579.994570123777771288567368358523,124892451.950455040876430511934492239888,0.0976845966724979937209419466474828543886,23912134.84059029066142560634103902217852,198754875.210735890267956738944517260256,0.0785544549910386701720962518759242195674,30601638.56202286963385290597126059813012,85723043.90001135747276380974559596829481,0.1171542347522817174228907702348284867627,19683922.51313448045312683977407564189136,50690685.34227609904755297645553444664671,0.1850173658239267710397438626806697570558,18382167.8647214209024565429910232063882,35032358.55773525842521083329006152164797,0.0860087041124116788307993565801922457245,5905652.01264224338262461161620044310248,39169408.05044368340366670218889627159377,0.0874759290143693487934733136541306846077,6715705.50198473875028753389760193777378,187616162.957990691728476000896150372068,0.2007208985982926013324652726507632696195,73810630.24816351661076436352048875031927,551010521.539094163937620218190965730303,0.2499780001764822575149772329397255399677,269971396.171064792870304594690394085442
